repo,area,coverage,questions,commits_scored
grafana/grafana,public/app/features/dashboard-scene,0.12,25,8
grafana/grafana,pkg/tsdb,0.28,25,8
grafana/grafana,pkg/api,0.4,25,8
grafana/grafana,pkg/registry,0.16,25,8
grafana/grafana,pkg/services,0.385,26,8
grafana/grafana,public,0.48,25,8
grafana/grafana,public/app/plugins,0.185,27,8
grafana/grafana,docs,0.167,24,8
grafana/grafana,public/app/features,0.208,24,8
grafana/grafana,packages,0.167,24,8
grafana/grafana,apps,0.148,27,8
grafana/grafana,(root),0.296,27,8
grafana/grafana,public/app/core,0.107,28,8
grafana/grafana,public/app/features/dashboard,0.259,27,8
grafana/grafana,public/app/types,0.185,27,8
grafana/grafana,public/locales,0.16,25,8
grafana/grafana,pkg/aggregator,0.077,26,8
grafana/grafana,pkg/apimachinery,0.28,25,8
grafana/grafana,pkg/apiserver,0.24,25,8
grafana/grafana,pkg/codegen,0.148,27,8
grafana/grafana,pkg/promlib,0.222,27,8
grafana/grafana,pkg/storage,0.231,26,8
grafana/grafana,public/app/features/alerting,0.2,25,8
grafana/grafana,devenv,0.111,27,8
grafana/grafana,public/app/features/browse-dashboards,0.107,28,8
grafana/grafana,public/test,0.179,28,8
grafana/grafana,public/app/features/auth-config,0.207,29,8
grafana/grafana,public/app/features/trails,0.12,25,8
grafana/grafana,pkg/tests,0.148,27,8
grafana/grafana,e2e,0.107,28,8
grafana/grafana,pkg/infra,0.259,27,8
grafana/grafana,pkg/server,0.179,28,8
grafana/grafana,conf,0.2,25,8
grafana/grafana,pkg/setting,0.308,26,8
grafana/grafana,pkg/plugins,0.12,25,8
grafana/grafana,pkg/apis,0.231,26,8
grafana/grafana,pkg/login,0.231,26,8
grafana/grafana,.github,0.192,26,8
grafana/grafana,public/app/features/transformers,0.2,25,8
grafana/grafana,public/app/features/explore,0.407,27,8
grafana/grafana,public/app/features/logs,0.375,24,8
grafana/grafana,public/app/features/plugins,0.208,24,8
grafana/grafana,pkg/middleware,0.25,28,8
grafana/grafana,pkg/util,0.138,29,8
grafana/grafana,public/app/features/manage-dashboards,0.038,26,8
grafana/grafana,public/app/features/variables,0.154,26,8
grafana/grafana,scripts,0.222,27,8
grafana/grafana,.bingo,0,25,8
grafana/grafana,public/img,0.24,25,8
grafana/grafana,pkg/cmd,0.24,25,8
grafana/grafana,pkg/kinds,0.28,25,8
grafana/grafana,public/app,0.2,25,8
grafana/grafana,public/app/features/search,0.423,26,8
grafana/grafana,public/app/features/query,0.04,25,8
grafana/grafana,public/app/routes,0.038,26,8
grafana/grafana,pkg,0.071,28,8
grafana/grafana,hack,0,10,3
grafana/grafana,public/app/features/migrate-to-cloud,0.28,25,8
grafana/grafana,contribute,0.25,24,8
grafana/grafana,public/app/features/canvas,0.32,25,8
grafana/grafana,public/app/angular,0.179,28,8
grafana/grafana,public/app/features/datasources,0.111,27,8
grafana/grafana,pkg/expr,0.36,25,8
grafana/grafana,public/app/features/admin,0.24,25,8
grafana/grafana,kinds,0.222,27,8
grafana/grafana,public/views,0.192,26,8
grafana/grafana,pkg/modules,0.143,28,8
grafana/grafana,public/app/features/connections,0.44,25,8
grafana/grafana,public/sass,0.16,25,8
grafana/grafana,pkg/web,0.273,22,7
apache/airflow,airflow/ui,0.259,27,8
apache/airflow,airflow/api_connexion,0.12,25,8
apache/airflow,airflow/auth,0.28,25,8
apache/airflow,airflow/www,0.28,25,8
apache/airflow,newsfragments,0.519,27,8
apache/airflow,providers,0.375,24,8
apache/airflow,tests/auth,0.471,17,5
apache/airflow,.github,0.308,26,8
apache/airflow,docs,0.4,25,8
apache/airflow,(root),0.417,24,8
apache/airflow,scripts,0.28,25,8
apache/airflow,dev,0.333,24,8
apache/airflow,airflow/api_fastapi,0.115,26,8
apache/airflow,tests/api_fastapi,0.241,29,8
apache/airflow,chart,0.4,25,8
apache/airflow,helm_tests,0.346,26,8
apache/airflow,airflow/dag_processing,0.346,26,8
apache/airflow,tests/dag_processing,0.542,24,8
apache/airflow,airflow/config_templates,0.48,25,8
apache/airflow,airflow/jobs,0.2,25,8
apache/airflow,contributing-docs,0.333,24,8
apache/airflow,tests_common,0.357,28,8
apache/airflow,airflow/utils,0.346,26,8
apache/airflow,airflow/migrations,0.458,24,8
apache/airflow,airflow/models,0.292,24,8
apache/airflow,tests/api_connexion,0.269,26,8
apache/airflow,tests/jobs,0.44,25,8
apache/airflow,tests/models,0.28,25,8
apache/airflow,tests/sensors,0.148,27,8
apache/airflow,tests,0.52,25,8
apache/airflow,tests/www,0.308,26,8
apache/airflow,airflow/cli,0.385,26,8
apache/airflow,airflow,0.423,26,8
apache/airflow,task_sdk,0.4,25,8
apache/airflow,tests/dags,0.179,28,8
apache/airflow,tests/cli,0.385,26,8
apache/airflow,airflow/executors,0.231,26,8
apache/airflow,tests/executors,0.25,28,8
apache/airflow,tests/utils,0.25,24,8
