repo,source,area,lines_changed,coverage,ci_lo,ci_hi,ci_half_width,commits_scored,questions,questions_explicit,active_recently,corpus_percentile,grey_reason,usable
apache/airflow,sweep,airflow-core,831690,0.4523809523809524,0.3122316381863852,0.6005113725287732,0.14413986717119398,15,42,19,true,59.07172995780591,,true
apache/airflow,sweep,dev,222697,0.41304347826086957,0.2828839329710102,0.5566075761298211,0.13686182157940546,15,46,19,true,59.07172995780591,,true
apache/airflow,sweep,docs,148860,0.3333333333333333,0.21358692207276764,0.479297831907446,0.1328554549173392,15,45,15,true,59.07172995780591,,true
apache/airflow,sweep,providers/google,114885,0.4666666666666667,0.3293490394201473,0.6092279113758954,0.13993943597787403,15,45,21,true,59.07172995780591,,true
apache/airflow,sweep,providers,112242,0.34782608695652173,0.22680806269918055,0.49230207822727434,0.1327470077640469,15,46,16,true,59.07172995780591,,true
apache/airflow,sweep,task-sdk,100842,0.30952380952380953,0.1907092651972273,0.46026277766340595,0.13477675623308932,15,42,13,true,42.616033755274266,,true
apache/airflow,sweep,providers/amazon,75032,0.38636363636363635,0.25720998886701985,0.5337669015379832,0.1382784563354817,15,44,17,true,59.07172995780591,,true
apache/airflow,sweep,providers/common,74769,0.3958333333333333,0.2702062649595057,0.5368984540306487,0.1333460945355715,15,48,19,true,59.07172995780591,,true
apache/airflow,sweep,providers/openlineage,64999,0.40816326530612246,0.2821503460597105,0.5475293002795374,0.13268947710991344,15,49,20,true,59.07172995780591,,true
apache/airflow,sweep,.github,57835,0.4222222222222222,0.2896848798168781,0.566994672040555,0.13865489611183843,15,45,19,true,59.07172995780591,,true
apache/airflow,sweep,scripts,55712,0.24489795918367346,0.14602203389475285,0.38086587260315785,0.1174219193542025,15,49,12,true,38.39662447257383,,true
apache/airflow,sweep,chart,48893,0.425531914893617,0.2951341600182584,0.5671833122878847,0.13602457613481314,15,47,20,true,59.07172995780591,,true
apache/airflow,sweep,providers/apache,47214,0.3191489361702128,0.2039520381739899,0.4616761088552146,0.12886203534061236,15,47,15,true,42.616033755274266,,true
apache/airflow,sweep,(root),42471,0.2916666666666667,0.18241416061863377,0.43179527736167544,0.12469055837152083,15,48,14,true,42.616033755274266,,true
apache/airflow,sweep,go-sdk,37489,0.42,0.2937479723456693,0.5576680331222217,0.1319600303882762,15,50,21,true,59.07172995780591,,true
apache/airflow,sweep,providers/fab,34703,0.3409090909090909,0.21875632628639946,0.4886113202806049,0.1349274969971027,15,44,15,true,59.07172995780591,,true
