repo,verdict,body_density,empty_body_share,pr_suffix_share,commits_sampled
grafana/grafana,pass,0.45,0.285,1,200
apache/airflow,pass,0.545,0.365,1,200
supabase/supabase,pass,0.9,0.09,1,200
langchain-ai/langchain,pass,0.595,0.375,0.995,200
prisma/prisma,pass,0.98,0,0.955,200
home-assistant/core,fail,0.08,0.755,1,200
n8n-io/n8n,fail,0.095,0.45,1,200
django/django,pass,0.305,0.565,0,200
kubernetes/kubernetes,pass,0.255,0.62,0.01,200
withastro/astro,pass,0.365,0.525,0.9,200
vercel/next.js,pass,0.965,0,1,200
facebook/react,pass,0.855,0.09,0.995,200
microsoft/vscode,pass,0.615,0.285,0.83,200
elastic/elasticsearch,pass,0.395,0.535,0.68,200
hashicorp/terraform,pass,0.375,0.49,0.365,200
pytorch/pytorch,pass,1,0,0.88,200
rust-lang/rust,weak,0.16,0.765,0,200
denoland/deno,pass,0.61,0.22,1,200
tailwindlabs/tailwindcss,pass,0.81,0.145,0.845,200
strapi/strapi,pass,0.61,0.295,0.93,200
appwrite/appwrite,pass,0.57,0.325,0.025,200
directus/directus,pass,0.625,0.24,0.97,200
nocodb/nocodb,fail,0,0.995,0.005,200
calcom/cal.com,pass,0.56,0.285,1,200
