id,protocol,repo,provenance,evidence,tier,questions,coverage_real,coverage_paraphrase,coverage_synthetic,rubric_mean_real,rubric_mean_paraphrase,rubric_mean_synthetic,record_chars,synthetic_chars,changed_lines,language
apache_airflow__40457,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0,1.3333,92,1060,,
apache_airflow__40491,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.3333,171,969,,
apache_airflow__40558,independent,apache/airflow,human,none,substantive,4,0,0,0.75,0.25,0.5,1.75,292,804,,
apache_airflow__40802,independent,apache/airflow,human,none,trivial,4,0,0,0,0,0,0.5,68,1958,,
apache_airflow__40809,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0.3333,1.6667,55,1336,,
apache_airflow__40854,independent,apache/airflow,human,none,empty,4,0,0,0.25,0.25,0.25,0.75,52,1237,,
apache_airflow__41200,independent,apache/airflow,human,none,empty,3,0,0,0,0.3333,0,0.3333,51,811,,
apache_airflow__41277,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.3333,194,1170,,
apache_airflow__41296,independent,apache/airflow,human,none,trivial,4,0,0,1,0,0.25,2,78,1246,,
apache_airflow__41396,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1,60,1014,,
apache_airflow__41663,independent,apache/airflow,human,none,trivial,4,0,0,0.25,0,0,1,236,1154,,
apache_airflow__41846,independent,apache/airflow,human,none,substantive,4,0,0,0.25,0,0,1,923,1682,,
apache_airflow__42474,independent,apache/airflow,human,none,substantive,3,0,0,0.666667,0.6667,0.6667,1.3333,352,1019,,
apache_airflow__42684,independent,apache/airflow,human,none,substantive,3,0,0.333333,1,0.6667,0.6667,2,266,1458,,
apache_airflow__42758,independent,apache/airflow,human,none,substantive,3,0,0,1,0.3333,0.3333,2,260,1160,,
apache_airflow__42761,independent,apache/airflow,human,none,substantive,3,0.333333,0,0.333333,1,0.3333,0.6667,795,1443,,
apache_airflow__42770,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.3333,37,565,,
apache_airflow__42794,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1,33,976,,
apache_airflow__42865,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0,1,1,0.6667,511,1241,,
apache_airflow__43005,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0.333333,0.6667,0.6667,0.6667,249,462,,
apache_airflow__43159,independent,apache/airflow,human,none,empty,4,0,0,0,0,0,0,22,1108,,
apache_airflow__43223,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0,1.6667,18,1713,,
apache_airflow__43669,independent,apache/airflow,human,none,trivial,3,0,0,0.333333,0,0,1,145,1269,,
apache_airflow__44287,independent,apache/airflow,human,none,empty,4,0,0,0.25,0,0,0.5,20,845,,
apache_airflow__44433,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0.333333,0,0,1,331,1236,,
apache_airflow__44493,independent,apache/airflow,human,none,trivial,3,0,0,0.333333,0,0,1.3333,40,1135,,
apache_airflow__44627,independent,apache/airflow,human,none,substantive,3,0,0,0.333333,0,0,0.6667,269,1117,,
apache_airflow__44704,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.6667,134,1163,,
apache_airflow__44745,independent,apache/airflow,human,none,trivial,3,0,0,1,0,0,2,130,883,,
apache_airflow__44778,independent,apache/airflow,human,none,substantive,3,0.666667,0.333333,0.666667,1.3333,1,1.6667,521,999,,
apache_airflow__44880,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0,1.3333,48,832,,
apache_airflow__44939,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0.3333,0.6667,1.6667,154,887,,
apache_airflow__45075,independent,apache/airflow,human,none,substantive,4,0,0,0.25,0.25,0.25,1,3867,1424,,
apache_airflow__45209,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.3333,91,799,,
apache_airflow__45397,independent,apache/airflow,human,none,empty,4,0,0,0.5,0,0,1.25,47,1262,,
apache_airflow__45722,independent,apache/airflow,human,none,trivial,3,0,0.333333,0.666667,0.6667,1,1.3333,161,1081,,
apache_airflow__46037,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.6667,143,1117,,
apache_airflow__46063,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1,31,1130,,
apache_airflow__46073,independent,apache/airflow,human,none,empty,3,0,0,1,0.3333,0,2,35,904,,
apache_airflow__46138,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0.3333,1.6667,156,1555,,
apache_airflow__46142,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0,0,1.6667,56,841,,
apache_airflow__46574,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,0.6667,42,772,,
apache_airflow__46826,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0.333333,1.3333,1,1.3333,343,982,,
apache_airflow__46848,independent,apache/airflow,human,none,substantive,3,0.333333,0,0.666667,0.6667,0.3333,1.3333,147,752,,
apache_airflow__47124,independent,apache/airflow,human,none,substantive,3,0.333333,0.333333,0,0.6667,0.6667,0.6667,150,759,,
apache_airflow__47241,independent,apache/airflow,human,none,substantive,3,0.333333,0,0.333333,1,1,1.3333,266,1192,,
apache_airflow__48461,independent,apache/airflow,human,none,substantive,3,0,0,0.666667,0,0,1.6667,320,1236,,
apache_airflow__48941,independent,apache/airflow,human,none,empty,4,0,0.25,0.75,0.25,0.5,1.5,63,1291,,
apache_airflow__48987,independent,apache/airflow,human,none,substantive,3,0,0,0.666667,0.3333,0.3333,1.3333,394,937,,
apache_airflow__49085,independent,apache/airflow,human,none,empty,3,0,0,0,0,0,1,54,537,,
apache_airflow__49137,independent,apache/airflow,human,none,trivial,3,0,0,0,0,0,0.6667,138,1015,,
apache_airflow__49199,independent,apache/airflow,human,none,trivial,4,0,0,0,0,0,0.25,103,2472,,
apache_airflow__49610,independent,apache/airflow,human,none,trivial,3,0,0,0.333333,0.3333,0,0.6667,82,615,,
apache_airflow__49809,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0.3333,0.3333,1.6667,55,1670,,
apache_airflow__50065,independent,apache/airflow,human,none,trivial,3,0,0,0,0.3333,0,0.6667,170,951,,
apache_airflow__50123,independent,apache/airflow,human,none,empty,4,0,0,0.5,0.25,0,1.5,54,1419,,
apache_airflow__50511,independent,apache/airflow,human,none,substantive,3,0,0,0,0,0,0.6667,117,634,,
apache_airflow__50532,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0.3333,0.3333,1.6667,54,805,,
apache_airflow__50670,independent,apache/airflow,human,none,empty,4,0,0,0.75,0,0,1.5,49,1113,,
apache_airflow__50960,independent,apache/airflow,agent,agent-trailer,substantive,4,0.5,0.25,0,1.25,0.5,0.75,4842,1944,,
apache_airflow__51297,independent,apache/airflow,human,none,trivial,3,0,0,0.666667,0,0,1.6667,110,1052,,
apache_airflow__51404,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0.3333,0,1.3333,48,1212,,
apache_airflow__51650,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0,1,39,544,,
apache_airflow__52262,independent,apache/airflow,human,none,substantive,3,0,0,0.333333,1,0,1.3333,199,1186,,
apache_airflow__52302,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,49,1439,,
apache_airflow__52404,independent,apache/airflow,human,none,substantive,4,0,0,0.25,0,0,0.5,264,840,,
apache_airflow__52564,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0.3333,0.3333,1.6667,60,722,,
apache_airflow__52591,independent,apache/airflow,human,none,substantive,3,0.333333,0.666667,0.666667,0.6667,1.3333,1.6667,650,1438,,
apache_airflow__52737,independent,apache/airflow,human,none,empty,3,0,0,1,0,0,2,66,1684,,
apache_airflow__52800,independent,apache/airflow,human,none,empty,3,0,0,0.666667,0.3333,0.6667,1.6667,58,949,,
apache_airflow__53153,independent,apache/airflow,agent,agent-trailer,substantive,3,0,0,0,0.3333,0.3333,0.3333,783,1462,,
apache_airflow__53314,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0,0.3333,1.3333,52,982,,
apache_airflow__53350,independent,apache/airflow,human,none,substantive,3,0,0,0,0,0,0,238,540,,
apache_airflow__53390,independent,apache/airflow,human,none,substantive,3,0,0,0.666667,0.6667,0.3333,1.6667,208,796,,
apache_airflow__53420,independent,apache/airflow,human,none,substantive,4,0,0,0.5,0.25,0,1.5,848,1411,,
apache_airflow__53514,independent,apache/airflow,human,none,empty,3,0,0,0.333333,0.3333,1,1,62,1259,,
apache_airflow__54487,independent,apache/airflow,human,none,substantive,3,0,0,0.333333,0.3333,0.3333,1.3333,183,872,,
apache_airflow__54679,independent,apache/airflow,human,none,substantive,4,0.5,0.5,0.75,1.5,1.5,1.75,375,1456,,
