id,repo,provenance,tier,score_real,score_synthetic
apache_airflow__40457,apache/airflow,human,empty,1,2
apache_airflow__40457,apache/airflow,human,empty,0,2
apache_airflow__40457,apache/airflow,human,empty,0,1
apache_airflow__40491,apache/airflow,human,trivial,0,2
apache_airflow__40491,apache/airflow,human,trivial,0,0
apache_airflow__40491,apache/airflow,human,trivial,0,2
apache_airflow__40558,apache/airflow,human,substantive,0,2
apache_airflow__40558,apache/airflow,human,substantive,0,2
apache_airflow__40558,apache/airflow,human,substantive,0,0
apache_airflow__40558,apache/airflow,human,substantive,1,2
apache_airflow__40802,apache/airflow,human,trivial,0,1
apache_airflow__40802,apache/airflow,human,trivial,0,1
apache_airflow__40802,apache/airflow,human,trivial,0,1
apache_airflow__40802,apache/airflow,human,trivial,0,1
apache_airflow__40809,apache/airflow,human,empty,0,2
apache_airflow__40809,apache/airflow,human,empty,0,2
apache_airflow__40809,apache/airflow,human,empty,0,2
apache_airflow__40854,apache/airflow,human,empty,0,1
apache_airflow__40854,apache/airflow,human,empty,0,0
apache_airflow__40854,apache/airflow,human,empty,0,2
apache_airflow__40854,apache/airflow,human,empty,0,0
apache_airflow__41200,apache/airflow,human,empty,0,1
apache_airflow__41200,apache/airflow,human,empty,0,2
apache_airflow__41200,apache/airflow,human,empty,0,2
apache_airflow__41277,apache/airflow,human,trivial,0,2
apache_airflow__41277,apache/airflow,human,trivial,0,2
apache_airflow__41277,apache/airflow,human,trivial,0,0
apache_airflow__41296,apache/airflow,human,trivial,1,2
apache_airflow__41296,apache/airflow,human,trivial,1,2
apache_airflow__41296,apache/airflow,human,trivial,0,2
apache_airflow__41296,apache/airflow,human,trivial,0,2
apache_airflow__41396,apache/airflow,human,empty,0,0
apache_airflow__41396,apache/airflow,human,empty,0,2
apache_airflow__41396,apache/airflow,human,empty,0,1
apache_airflow__41663,apache/airflow,human,trivial,1,2
apache_airflow__41663,apache/airflow,human,trivial,0,2
apache_airflow__41663,apache/airflow,human,trivial,0,0
apache_airflow__41663,apache/airflow,human,trivial,0,2
apache_airflow__41846,apache/airflow,human,substantive,0,2
apache_airflow__41846,apache/airflow,human,substantive,0,2
apache_airflow__41846,apache/airflow,human,substantive,0,1
apache_airflow__41846,apache/airflow,human,substantive,1,2
apache_airflow__42474,apache/airflow,human,substantive,1,2
apache_airflow__42474,apache/airflow,human,substantive,1,2
apache_airflow__42474,apache/airflow,human,substantive,0,2
apache_airflow__42684,apache/airflow,human,substantive,1,2
apache_airflow__42684,apache/airflow,human,substantive,1,2
apache_airflow__42684,apache/airflow,human,substantive,1,2
apache_airflow__42758,apache/airflow,human,substantive,1,2
apache_airflow__42758,apache/airflow,human,substantive,1,2
apache_airflow__42758,apache/airflow,human,substantive,0,2
apache_airflow__42761,apache/airflow,human,substantive,2,1
apache_airflow__42761,apache/airflow,human,substantive,1,1
apache_airflow__42761,apache/airflow,human,substantive,1,1
apache_airflow__42770,apache/airflow,human,trivial,0,2
apache_airflow__42770,apache/airflow,human,trivial,0,2
apache_airflow__42770,apache/airflow,human,trivial,0,0
apache_airflow__42794,apache/airflow,human,empty,0,1
apache_airflow__42794,apache/airflow,human,empty,0,2
apache_airflow__42794,apache/airflow,human,empty,0,1
apache_airflow__42865,apache/airflow,human,substantive,2,2
apache_airflow__42865,apache/airflow,human,substantive,2,1
apache_airflow__42865,apache/airflow,human,substantive,1,2
apache_airflow__43005,apache/airflow,human,substantive,2,2
apache_airflow__43005,apache/airflow,human,substantive,0,1
apache_airflow__43005,apache/airflow,human,substantive,0,0
apache_airflow__43159,apache/airflow,human,empty,0,2
apache_airflow__43159,apache/airflow,human,empty,0,0
apache_airflow__43159,apache/airflow,human,empty,0,0
apache_airflow__43159,apache/airflow,human,empty,0,2
apache_airflow__43223,apache/airflow,human,empty,0,2
apache_airflow__43223,apache/airflow,human,empty,0,2
apache_airflow__43223,apache/airflow,human,empty,0,2
apache_airflow__43669,apache/airflow,human,trivial,0,2
apache_airflow__43669,apache/airflow,human,trivial,0,2
apache_airflow__43669,apache/airflow,human,trivial,1,2
apache_airflow__44287,apache/airflow,human,empty,0,2
apache_airflow__44287,apache/airflow,human,empty,0,1
apache_airflow__44287,apache/airflow,human,empty,0,0
apache_airflow__44287,apache/airflow,human,empty,0,0
apache_airflow__44433,apache/airflow,agent,substantive,1,2
apache_airflow__44433,apache/airflow,agent,substantive,1,2
apache_airflow__44433,apache/airflow,agent,substantive,0,1
apache_airflow__44493,apache/airflow,human,trivial,0,2
apache_airflow__44493,apache/airflow,human,trivial,0,1
apache_airflow__44493,apache/airflow,human,trivial,0,2
apache_airflow__44627,apache/airflow,human,substantive,0,0
apache_airflow__44627,apache/airflow,human,substantive,0,0
apache_airflow__44627,apache/airflow,human,substantive,0,1
apache_airflow__44704,apache/airflow,human,trivial,0,1
apache_airflow__44704,apache/airflow,human,trivial,0,2
apache_airflow__44704,apache/airflow,human,trivial,1,1
apache_airflow__44745,apache/airflow,human,trivial,0,2
apache_airflow__44745,apache/airflow,human,trivial,0,2
apache_airflow__44745,apache/airflow,human,trivial,0,2
apache_airflow__44778,apache/airflow,human,substantive,1,2
apache_airflow__44778,apache/airflow,human,substantive,2,2
apache_airflow__44778,apache/airflow,human,substantive,0,2
apache_airflow__44880,apache/airflow,human,empty,1,2
apache_airflow__44880,apache/airflow,human,empty,0,0
apache_airflow__44880,apache/airflow,human,empty,1,2
apache_airflow__44939,apache/airflow,human,trivial,1,2
apache_airflow__44939,apache/airflow,human,trivial,0,2
apache_airflow__44939,apache/airflow,human,trivial,1,2
apache_airflow__45075,apache/airflow,human,substantive,1,2
apache_airflow__45075,apache/airflow,human,substantive,0,1
apache_airflow__45075,apache/airflow,human,substantive,1,1
apache_airflow__45075,apache/airflow,human,substantive,0,0
apache_airflow__45209,apache/airflow,human,trivial,1,2
apache_airflow__45209,apache/airflow,human,trivial,0,0
apache_airflow__45209,apache/airflow,human,trivial,0,2
apache_airflow__45397,apache/airflow,human,empty,1,2
apache_airflow__45397,apache/airflow,human,empty,1,1
apache_airflow__45397,apache/airflow,human,empty,0,2
apache_airflow__45397,apache/airflow,human,empty,0,2
apache_airflow__45722,apache/airflow,human,trivial,1,2
apache_airflow__45722,apache/airflow,human,trivial,1,2
apache_airflow__45722,apache/airflow,human,trivial,0,0
apache_airflow__46037,apache/airflow,human,trivial,0,2
apache_airflow__46037,apache/airflow,human,trivial,0,2
apache_airflow__46037,apache/airflow,human,trivial,1,2
apache_airflow__46063,apache/airflow,human,empty,0,1
apache_airflow__46063,apache/airflow,human,empty,0,1
apache_airflow__46063,apache/airflow,human,empty,0,1
apache_airflow__46073,apache/airflow,human,empty,1,2
apache_airflow__46073,apache/airflow,human,empty,0,2
apache_airflow__46073,apache/airflow,human,empty,1,2
apache_airflow__46138,apache/airflow,human,trivial,0,2
apache_airflow__46138,apache/airflow,human,trivial,1,2
apache_airflow__46138,apache/airflow,human,trivial,1,2
apache_airflow__46142,apache/airflow,human,empty,0,1
apache_airflow__46142,apache/airflow,human,empty,0,2
apache_airflow__46142,apache/airflow,human,empty,0,2
apache_airflow__46574,apache/airflow,human,empty,0,2
apache_airflow__46574,apache/airflow,human,empty,0,1
apache_airflow__46574,apache/airflow,human,empty,0,0
apache_airflow__46826,apache/airflow,human,substantive,1,2
apache_airflow__46826,apache/airflow,human,substantive,0,1
apache_airflow__46826,apache/airflow,human,substantive,2,1
apache_airflow__46848,apache/airflow,human,substantive,1,2
apache_airflow__46848,apache/airflow,human,substantive,1,2
apache_airflow__46848,apache/airflow,human,substantive,0,0
apache_airflow__47124,apache/airflow,human,substantive,2,1
apache_airflow__47124,apache/airflow,human,substantive,0,2
apache_airflow__47124,apache/airflow,human,substantive,0,2
apache_airflow__47241,apache/airflow,human,substantive,1,1
apache_airflow__47241,apache/airflow,human,substantive,1,2
apache_airflow__47241,apache/airflow,human,substantive,0,1
apache_airflow__48461,apache/airflow,human,substantive,0,2
apache_airflow__48461,apache/airflow,human,substantive,0,2
apache_airflow__48461,apache/airflow,human,substantive,0,2
apache_airflow__48941,apache/airflow,human,empty,1,2
apache_airflow__48941,apache/airflow,human,empty,0,2
apache_airflow__48941,apache/airflow,human,empty,0,2
apache_airflow__48941,apache/airflow,human,empty,1,2
apache_airflow__48987,apache/airflow,human,substantive,1,2
apache_airflow__48987,apache/airflow,human,substantive,0,0
apache_airflow__48987,apache/airflow,human,substantive,1,2
apache_airflow__49085,apache/airflow,human,empty,0,2
apache_airflow__49085,apache/airflow,human,empty,0,1
apache_airflow__49085,apache/airflow,human,empty,0,2
apache_airflow__49137,apache/airflow,human,trivial,0,2
apache_airflow__49137,apache/airflow,human,trivial,0,2
apache_airflow__49137,apache/airflow,human,trivial,0,0
apache_airflow__49199,apache/airflow,human,trivial,0,0
apache_airflow__49199,apache/airflow,human,trivial,0,1
apache_airflow__49199,apache/airflow,human,trivial,0,1
