outcome,outcome_worse_direction,predictor,predictor_claim,n,outcome_mean,predictor_sd,correlation,slope_unadjusted,slope_unadjusted_lo,slope_unadjusted_hi,slope_churn_adjusted,slope_churn_adjusted_lo,slope_churn_adjusted_hi,underpowered,not_estimable
dormant,higher,orphanedShare,higher-is-worse,224,0.013392857142857142,0.033222720362872014,-0.035392961215432964,-0.004077530551066075,-0.009624896131892578,0,-0.003865393011322871,-0.011039677354469703,0,false,
dormant,higher,concentration,higher-is-worse,224,0.013392857142857142,0.15042641311353494,0.007125242807685683,0.000820880599824848,-0.006927293585951123,0.009131006501272982,-0.0018817933928795625,-0.017368306223400076,0.01033304577753161,false,
dormant,higher,recordCoverage,lower-is-worse,223,0.013452914798206279,0.12343471433167512,-0.01253048216772066,-0.0014468077678595718,-0.011970800134720863,0.007039034088429487,0.0004644555074423253,-0.010769238542012059,0.012700924866300601,false,
dormant,higher,commitsPerMonth,higher-is-worse,224,0.013392857142857142,19.165195891803442,-0.041576514300933606,-0.004789921539398338,-0.012858960296870755,0.0006344379276101741,0.0014912309686694175,-0.0001507135551733833,0.006512803934002011,false,
dormant,higher,contributors,lower-is-worse,224,0.013392857142857142,83.69649406632412,-0.03078728513613065,-0.0035469226483433,-0.012021058230957306,0.00324632723356978,0.0009616529263585162,-0.0006701200347296852,0.00498123559350928,false,
rewritten,higher,orphanedShare,higher-is-worse,224,0.5357142857142857,0.033222720362872014,-0.013103735562774752,-0.006549768832821137,-0.07802047748143472,0.052048628871863005,0.008555336238869102,-0.06356943369086998,0.07355536148505107,false,
rewritten,higher,concentration,higher-is-worse,224,0.5357142857142857,0.15042641311353494,-0.07009989348126414,-0.03503871818140092,-0.0987820307363869,0.03135055100593375,-0.06396977502339433,-0.12868971806003254,0.0037383003447686095,false,
rewritten,higher,recordCoverage,lower-is-worse,223,0.5381165919282511,0.12343471433167512,0.18383602936368132,0.09185672299730567,0.02979721670930856,0.1505540952033286,0.09815600578895534,0.03764829764442991,0.15969739407037287,false,
rewritten,higher,commitsPerMonth,higher-is-worse,224,0.5357142857142857,19.165195891803442,-0.22870822147798717,-0.11431747639214962,-0.1646844059919105,-0.05903884169340783,0.012453678183932067,-0.03937578778579641,0.11672268060380855,false,
rewritten,higher,contributors,lower-is-worse,224,0.5357142857142857,83.69649406632412,-0.039985951195809395,-0.01998657067203222,-0.1079176243351622,0.037447083888385496,0.15183419149535513,0.06532231901319507,0.21720601247075125,false,
