id,repo,prNumber,sha,mergedAt,provenance,evidence,language,changedLines,filesChanged,sizeBucket,emptyBody,rawBodyEmpty
apache_airflow__39982,apache/airflow,39982,b0a18d9019a1a12d58435185b0c86e28af050685,2024-10-04T06:39:15-05:00,human,none,Python,48,2,20-49,false,false
apache_airflow__40171,apache/airflow,40171,17c30b4f21432d7fc419e048305315bba6d04522,2024-09-05T13:08:41+02:00,human,none,Python,88,6,50-149,true,true
apache_airflow__40522,apache/airflow,40522,8159f6e24704f5e0e3b3217cf79ecf5083dce531,2024-07-02T17:04:40+08:00,human,none,Python,35,2,20-49,true,true
apache_airflow__40626,apache/airflow,40626,e7dedbe95af6cb0fd408ce6cea2707dbef1d2682,2024-07-07T13:23:43+02:00,human,none,Python,50,2,50-149,false,false
apache_airflow__40765,apache/airflow,40765,a4e3fbed1a07b5685820a468e2d2ebb986b7d6b4,2024-07-18T19:18:48+01:00,human,none,Python,2125,15,500+,true,true
apache_airflow__40965,apache/airflow,40965,2161e0ac2d18e1e8c455a0f921e08ea5acc94b60,2024-07-23T20:52:40+02:00,human,none,Python,41,2,20-49,false,false
apache_airflow__40999,apache/airflow,40999,33e1909ae4f9e75dac20c6ea0ceadaddc488183f,2024-07-24T17:53:21+02:00,human,none,Python,51,5,50-149,false,false
apache_airflow__41282,apache/airflow,41282,d855294a80d9a087b6c7b4b5d848a98d84967228,2024-08-06T18:54:11+02:00,human,none,Python,202,14,150-499,false,false
apache_airflow__41528,apache/airflow,41528,83a6cb4ff3fa08d22c85e6d50e9e2b8a903f8bb9,2024-08-21T13:20:06+05:30,human,none,YAML,349,18,150-499,false,false
apache_airflow__41784,apache/airflow,41784,615cddf427081bdbafc9437569946b16390deddb,2024-08-27T20:15:44+05:30,human,none,Python,214,12,150-499,true,true
apache_airflow__41930,apache/airflow,41930,c3cabc130594d304aca7a7e1da8fd99f4d957b20,2024-09-03T11:10:28+02:00,human,none,Python,922,6,500+,false,false
apache_airflow__42280,apache/airflow,42280,8741e9c1761931c7cff135d53b589053a04f58c1,2024-09-20T13:52:43-07:00,human,none,Python,1884,27,500+,true,true
apache_airflow__42461,apache/airflow,42461,79a8882d2f60eea5d189e07dcbe778b403cc968d,2024-09-25T18:20:58+00:00,human,none,Python,59,2,50-149,true,true
apache_airflow__42525,apache/airflow,42525,3ef29a641a852c076da7a9611c325669e8485368,2024-09-27T10:21:29+02:00,human,none,JavaScript,32,2,20-49,true,true
apache_airflow__42754,apache/airflow,42754,64336c29b1c758772ad9819e4586d0b689725a6b,2024-10-24T15:10:45-04:00,human,none,Python,116,4,50-149,false,false
apache_airflow__42832,apache/airflow,42832,b98c620a387af8c904732608975c49f83fca185c,2024-10-08T15:37:25-04:00,human,none,Other,20,2,20-49,false,false
apache_airflow__42849,apache/airflow,42849,95c46ec135349c8e8d3150d16f18ab65f8240f3e,2024-10-13T00:17:37+02:00,human,none,Python,35,2,20-49,false,false
apache_airflow__43003,apache/airflow,43003,57500b6608fcbd3bfaa1ddbe6364899ac3f8c251,2024-10-20T09:51:18+05:30,human,none,Python,235,2,150-499,true,true
apache_airflow__43305,apache/airflow,43305,75ecaffa5fa6884729243083a487f33187ed3c66,2024-10-25T01:52:23+05:30,human,none,Python,44,4,20-49,false,false
apache_airflow__43730,apache/airflow,43730,b757bd8df824d4eba952f6e140bcb373bc3f1003,2024-11-06T12:25:59+01:00,human,none,Python,5422,46,500+,false,false
apache_airflow__44201,apache/airflow,44201,b9cd39ab900fd913e8ade77475f1fce5e10b1ea7,2024-11-19T22:14:47+00:00,human,none,Python,175,2,150-499,false,false
apache_airflow__44215,apache/airflow,44215,9c6b74807353b741f40d9bb618d58a6464cb9f45,2024-11-20T21:31:56+05:30,human,none,Python,22,4,20-49,true,true
apache_airflow__44237,apache/airflow,44237,440c224af5592f9007eef43d1dbe9025aa34e177,2024-11-21T15:24:47+05:30,human,none,Python,37,3,20-49,false,false
apache_airflow__44424,apache/airflow,44424,972714e9cdb079f271646d9641ab5bd47983d93c,2025-01-07T11:26:05+02:00,human,none,Python,51,10,50-149,false,false
apache_airflow__44462,apache/airflow,44462,1f18458f7feba81243924cdf62bcbba05d919163,2024-11-28T23:36:40+01:00,human,none,Python,776,12,500+,false,false
apache_airflow__44567,apache/airflow,44567,fad4c389ed1975fddc5148787f0f63df9bb7b28a,2024-12-06T12:40:26+05:30,human,none,Python,31,3,20-49,true,true
