id,repo,prNumber,provenance,evidence,language,changedLines,sizeBucket,emptyBody,nQuestions,realMean,syntheticMean,realPctExplicit,syntheticPctExplicit,gap
apache_airflow__40457,apache/airflow,40457,human,none,Python,38,20-49,true,3,0.3333,1.6667,0,66.6667,-1.3333
apache_airflow__40491,apache/airflow,40491,human,none,Python,37,20-49,false,3,0,1.3333,0,66.6667,-1.3333
apache_airflow__40558,apache/airflow,40558,human,none,Python,42,20-49,false,4,0.2500,1.5000,0,75,-1.2500
apache_airflow__40802,apache/airflow,40802,human,none,Python,1009,500+,false,4,0,1,0,0,-1
apache_airflow__40809,apache/airflow,40809,human,none,Python,210,150-499,true,3,0,2,0,100,-2
apache_airflow__40854,apache/airflow,40854,human,none,Python,245,150-499,true,4,0,0.7500,0,25,-0.7500
apache_airflow__41200,apache/airflow,41200,human,none,TypeScript,135,50-149,true,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__41277,apache/airflow,41277,human,none,Python,319,150-499,false,3,0,1.3333,0,66.6667,-1.3333
apache_airflow__41296,apache/airflow,41296,human,none,Python,22,20-49,false,4,0.5000,2,0,100,-1.5000
apache_airflow__41396,apache/airflow,41396,human,none,Python,564,500+,true,3,0,1,0,33.3333,-1
apache_airflow__41663,apache/airflow,41663,human,none,Python,141,50-149,false,4,0.2500,1.5000,0,75,-1.2500
apache_airflow__41846,apache/airflow,41846,human,none,TypeScript,23010,500+,false,4,0.2500,1.7500,0,75,-1.5000
apache_airflow__42474,apache/airflow,42474,human,none,Python,104,50-149,false,3,0.6667,2,0,100,-1.3333
apache_airflow__42684,apache/airflow,42684,human,none,Python,183,150-499,false,3,1,2,0,100,-1
apache_airflow__42758,apache/airflow,42758,human,none,Python,45,20-49,false,3,0.6667,2,0,100,-1.3333
apache_airflow__42761,apache/airflow,42761,human,none,Python,782,500+,false,3,1.3333,1,33.3333,0,0.3333
apache_airflow__42770,apache/airflow,42770,human,none,Python,32,20-49,false,3,0,1.3333,0,66.6667,-1.3333
apache_airflow__42794,apache/airflow,42794,human,none,Python,110,50-149,true,3,0,1.3333,0,33.3333,-1.3333
apache_airflow__42865,apache/airflow,42865,human,none,Python,169,150-499,false,3,1.6667,1.6667,66.6667,66.6667,0
apache_airflow__43005,apache/airflow,43005,human,none,JSON,176,150-499,false,3,0.6667,1,33.3333,33.3333,-0.3333
apache_airflow__43159,apache/airflow,43159,human,none,TypeScript,456,150-499,true,4,0,1,0,50,-1
apache_airflow__43223,apache/airflow,43223,human,none,TypeScript,374,150-499,true,3,0,2,0,100,-2
apache_airflow__43669,apache/airflow,43669,human,none,Python,110,50-149,false,3,0.3333,2,0,100,-1.6667
apache_airflow__44287,apache/airflow,44287,human,none,TOML,33,20-49,true,4,0,0.7500,0,25,-0.7500
apache_airflow__44433,apache/airflow,44433,agent,agent-trailer,Python,583,500+,false,3,0.6667,1.6667,0,66.6667,-1
apache_airflow__44493,apache/airflow,44493,human,none,Python,138,50-149,false,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__44627,apache/airflow,44627,human,none,Python,872,500+,false,3,0,0.3333,0,0,-0.3333
apache_airflow__44704,apache/airflow,44704,human,none,Python,119,50-149,false,3,0.3333,1.3333,0,33.3333,-1
apache_airflow__44745,apache/airflow,44745,human,none,Python,56,50-149,false,3,0,2,0,100,-2
apache_airflow__44778,apache/airflow,44778,human,none,Python,29,20-49,false,3,1,2,33.3333,100,-1
apache_airflow__44880,apache/airflow,44880,human,none,Python,23,20-49,true,3,0.6667,1.3333,0,66.6667,-0.6667
apache_airflow__44939,apache/airflow,44939,human,none,Python,29,20-49,false,3,0.6667,2,0,100,-1.3333
apache_airflow__45075,apache/airflow,45075,human,none,Python,271,150-499,false,4,0.5000,1,0,25,-0.5000
apache_airflow__45209,apache/airflow,45209,human,none,Python,29,20-49,false,3,0.3333,1.3333,0,66.6667,-1
apache_airflow__45397,apache/airflow,45397,human,none,Python,314,150-499,true,4,0.5000,1.7500,0,75,-1.2500
apache_airflow__45722,apache/airflow,45722,human,none,YAML,34,20-49,false,3,0.6667,1.3333,0,66.6667,-0.6667
apache_airflow__46037,apache/airflow,46037,human,none,Python,95,50-149,false,3,0.3333,2,0,100,-1.6667
apache_airflow__46063,apache/airflow,46063,human,none,Python,516,500+,true,3,0,1,0,0,-1
apache_airflow__46073,apache/airflow,46073,human,none,Python,21,20-49,true,3,0.6667,2,0,100,-1.3333
apache_airflow__46138,apache/airflow,46138,human,none,TypeScript,726,500+,false,3,0.6667,2,0,100,-1.3333
apache_airflow__46142,apache/airflow,46142,human,none,YAML,55,50-149,true,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__46574,apache/airflow,46574,human,none,Python,22,20-49,true,3,0,1,0,33.3333,-1
apache_airflow__46826,apache/airflow,46826,human,none,Python,218,150-499,false,3,1,1.3333,33.3333,33.3333,-0.3333
apache_airflow__46848,apache/airflow,46848,human,none,Python,37,20-49,false,3,0.6667,1.3333,0,66.6667,-0.6667
apache_airflow__47124,apache/airflow,47124,human,none,YAML,33,20-49,false,3,0.6667,1.6667,33.3333,66.6667,-1
apache_airflow__47241,apache/airflow,47241,human,none,Python,169,150-499,false,3,0.6667,1.3333,0,33.3333,-0.6667
apache_airflow__48461,apache/airflow,48461,human,none,Python,92,50-149,false,3,0,2,0,100,-2
apache_airflow__48941,apache/airflow,48941,human,none,Python,140,50-149,true,4,0.5000,2,0,100,-1.5000
apache_airflow__48987,apache/airflow,48987,human,none,Python,167,150-499,false,3,0.6667,1.3333,0,66.6667,-0.6667
apache_airflow__49085,apache/airflow,49085,human,none,Python,20,20-49,true,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__49137,apache/airflow,49137,human,none,TypeScript,76,50-149,false,3,0,1.3333,0,66.6667,-1.3333
apache_airflow__49199,apache/airflow,49199,human,none,Python,3786,500+,false,4,0,1,0,25,-1
apache_airflow__49610,apache/airflow,49610,human,none,Python,26,20-49,false,3,0.3333,1.3333,0,66.6667,-1
apache_airflow__49809,apache/airflow,49809,human,none,Python,228,150-499,true,3,1,2,0,100,-1
apache_airflow__50065,apache/airflow,50065,human,none,TypeScript,129,50-149,false,3,0,1.3333,0,66.6667,-1.3333
apache_airflow__50123,apache/airflow,50123,human,none,Python,156,150-499,true,4,0,1.5000,0,50,-1.5000
apache_airflow__50511,apache/airflow,50511,human,none,YAML,155,150-499,false,3,0.3333,1.3333,0,33.3333,-1
apache_airflow__50532,apache/airflow,50532,human,none,Python,23,20-49,true,3,0,2,0,100,-2
apache_airflow__50670,apache/airflow,50670,human,none,Python,408,150-499,true,4,0.5000,1.5000,0,75,-1
apache_airflow__50960,apache/airflow,50960,agent,agent-trailer,Python,1832,500+,false,4,1,0.7500,25,0,0.2500
apache_airflow__51297,apache/airflow,51297,human,none,Python,66,50-149,false,3,0,2,0,100,-2
apache_airflow__51404,apache/airflow,51404,human,none,JSON,1156,500+,true,3,0.6667,2,0,100,-1.3333
apache_airflow__51650,apache/airflow,51650,human,none,JSON,111,50-149,true,3,0,1,0,33.3333,-1
apache_airflow__52262,apache/airflow,52262,human,none,Python,210,150-499,false,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__52302,apache/airflow,52302,human,none,TypeScript,388,150-499,true,3,0,2,0,100,-2
apache_airflow__52404,apache/airflow,52404,human,none,TOML,172,150-499,false,4,0,0.5000,0,0,-0.5000
apache_airflow__52564,apache/airflow,52564,human,none,Python,44,20-49,true,3,0.3333,2,0,100,-1.6667
apache_airflow__52591,apache/airflow,52591,human,none,Python,316,150-499,false,3,1,1.6667,33.3333,66.6667,-0.6667
apache_airflow__52737,apache/airflow,52737,human,none,TypeScript,358,150-499,true,3,0.3333,2,0,100,-1.6667
apache_airflow__52800,apache/airflow,52800,human,none,Python,53,50-149,true,3,0,2,0,100,-2
apache_airflow__53153,apache/airflow,53153,agent,agent-trailer,Python,464,150-499,false,3,0.3333,1,0,0,-0.6667
apache_airflow__53314,apache/airflow,53314,human,none,Python,46,20-49,true,3,0.3333,1.6667,0,66.6667,-1.3333
apache_airflow__53350,apache/airflow,53350,human,none,YAML,29,20-49,false,3,0,1,0,33.3333,-1
apache_airflow__53390,apache/airflow,53390,human,none,Python,49,20-49,false,3,0.6667,2,0,100,-1.3333
apache_airflow__53420,apache/airflow,53420,human,none,Python,214,150-499,false,4,0.2500,1.7500,0,75,-1.5000
apache_airflow__53514,apache/airflow,53514,human,none,Python,122,50-149,true,3,0.6667,1,0,33.3333,-0.3333
apache_airflow__54487,apache/airflow,54487,human,none,Python,46,20-49,false,3,0.3333,1.6667,0,66.6667,-1.3333
apache_airflow__54679,apache/airflow,54679,human,none,Python,173,150-499,false,4,0.7500,1.7500,0,75,-1
apache_airflow__54731,apache/airflow,54731,human,none,Go,39,20-49,false,3,0,2,0,100,-2
apache_airflow__55090,apache/airflow,55090,human,none,YAML,30,20-49,false,3,0,0.6667,0,0,-0.6667
apache_airflow__55114,apache/airflow,55114,human,none,TypeScript,188,150-499,true,3,0.6667,1.6667,0,66.6667,-1
apache_airflow__55118,apache/airflow,55118,human,none,Python,77,50-149,true,3,0,2,0,100,-2
apache_airflow__55486,apache/airflow,55486,human,none,TypeScript,514,500+,true,3,0.3333,1.6667,0,66.6667,-1.3333
apache_airflow__55499,apache/airflow,55499,human,none,Python,103,50-149,false,3,0.6667,1.6667,0,66.6667,-1
apache_airflow__55972,apache/airflow,55972,human,none,Python,631,500+,true,3,0,1.3333,0,33.3333,-1.3333
