id,repo,provenance,tier,nQuestions,fullPct2,subjectPct2,diff,recordChars
apache_airflow__40335,apache/airflow,human,substantive,3,33.3333,0.0000,33.3333,475
apache_airflow__40627,apache/airflow,human,substantive,3,66.6667,0.0000,66.6667,790
apache_airflow__41303,apache/airflow,human,trivial,3,0.0000,0.0000,0.0000,149
apache_airflow__42458,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,31
apache_airflow__44040,apache/airflow,agent,trivial,3,0.0000,0.0000,0.0000,55
apache_airflow__44386,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,54
apache_airflow__44536,apache/airflow,human,substantive,3,0.0000,0.0000,0.0000,232
apache_airflow__45125,apache/airflow,human,substantive,3,33.3333,0.0000,33.3333,332
apache_airflow__46647,apache/airflow,human,empty,4,0.0000,0.0000,0.0000,34
apache_airflow__47935,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,60
apache_airflow__50211,apache/airflow,human,empty,2,0.0000,0.0000,0.0000,31
apache_airflow__50960,apache/airflow,agent,substantive,4,0.0000,0.0000,0.0000,4842
apache_airflow__52428,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,70
apache_airflow__52615,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,22
apache_airflow__52871,apache/airflow,human,trivial,3,0.0000,0.0000,0.0000,130
apache_airflow__54487,apache/airflow,human,substantive,3,0.0000,0.0000,0.0000,183
apache_airflow__55623,apache/airflow,human,substantive,4,25.0000,0.0000,25.0000,259
apache_airflow__56077,apache/airflow,human,trivial,3,33.3333,0.0000,33.3333,135
apache_airflow__57665,apache/airflow,agent,substantive,3,33.3333,0.0000,33.3333,1259
apache_airflow__59124,apache/airflow,human,substantive,3,33.3333,0.0000,33.3333,257
apache_airflow__60274,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,85
apache_airflow__60453,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,41
apache_airflow__61163,apache/airflow,human,substantive,4,25.0000,0.0000,25.0000,455
apache_airflow__61527,apache/airflow,agent,substantive,3,33.3333,0.0000,33.3333,3170
apache_airflow__62501,apache/airflow,agent,empty,3,0.0000,0.0000,0.0000,59
apache_airflow__62585,apache/airflow,agent,empty,3,0.0000,0.0000,0.0000,77
apache_airflow__62665,apache/airflow,agent,substantive,3,66.6667,0.0000,66.6667,753
apache_airflow__62742,apache/airflow,agent,empty,3,0.0000,0.0000,0.0000,79
apache_airflow__62755,apache/airflow,agent,substantive,3,0.0000,0.0000,0.0000,548
apache_airflow__62835,apache/airflow,agent,substantive,3,66.6667,0.0000,66.6667,753
apache_airflow__63294,apache/airflow,agent,substantive,3,66.6667,0.0000,66.6667,240
apache_airflow__63478,apache/airflow,agent,substantive,3,100.0000,0.0000,100.0000,1586
apache_airflow__63894,apache/airflow,human,empty,3,0.0000,0.0000,0.0000,33
apache_airflow__64180,apache/airflow,human,trivial,3,0.0000,0.0000,0.0000,129
apache_airflow__64586,apache/airflow,agent,trivial,3,0.0000,0.0000,0.0000,103
apache_airflow__64752,apache/airflow,human,substantive,3,100.0000,0.0000,100.0000,1383
apache_airflow__64804,apache/airflow,agent,substantive,3,33.3333,0.0000,33.3333,670
apache_airflow__66222,apache/airflow,human,substantive,3,0.0000,0.0000,0.0000,264
apache_airflow__66553,apache/airflow,agent,substantive,3,100.0000,0.0000,100.0000,996
apache_airflow__67877,apache/airflow,human,substantive,4,75.0000,0.0000,75.0000,548
apache_airflow__68258,apache/airflow,human,substantive,3,66.6667,0.0000,66.6667,888
apache_airflow__68336,apache/airflow,agent,substantive,3,66.6667,0.0000,66.6667,818
apache_airflow__68481,apache/airflow,human,trivial,3,0.0000,0.0000,0.0000,144
apache_airflow__68869,apache/airflow,human,substantive,3,66.6667,0.0000,66.6667,1752
apache_airflow__69283,apache/airflow,agent,substantive,3,66.6667,0.0000,66.6667,1330
grafana_grafana__100227,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,110
grafana_grafana__100409,grafana/grafana,human,substantive,3,33.3333,0.0000,33.3333,371
grafana_grafana__101884,grafana/grafana,human,substantive,3,0.0000,0.0000,0.0000,293
grafana_grafana__101929,grafana/grafana,human,trivial,3,0.0000,0.0000,0.0000,221
grafana_grafana__102974,grafana/grafana,human,empty,3,0.0000,0.0000,0.0000,31
grafana_grafana__104163,grafana/grafana,human,substantive,4,0.0000,0.0000,0.0000,455
grafana_grafana__105473,grafana/grafana,human,empty,3,0.0000,0.0000,0.0000,67
grafana_grafana__105542,grafana/grafana,human,substantive,3,0.0000,0.0000,0.0000,769
grafana_grafana__105601,grafana/grafana,human,empty,4,0.0000,0.0000,0.0000,79
grafana_grafana__105641,grafana/grafana,human,trivial,4,0.0000,0.0000,0.0000,92
grafana_grafana__108144,grafana/grafana,agent,substantive,3,0.0000,0.0000,0.0000,259
grafana_grafana__108580,grafana/grafana,human,substantive,3,0.0000,0.0000,0.0000,295
